'chr'	'start'	'end'	'CV0857_viridis_North_M_footprints'	'CV0985_concolor_Other_F_footprints'	'CV1081_viridis_Mid_M_footprints'	'CV1082_viridis_South_M_footprints'	'CV1086_viridis_South_M_footprints'	'CV1087_viridis_North_F_footprints'	'CV1089_viridis_South_M_footprints'	'CV1090_cerberus_Other_M_footprints'	'CV1095_viridis_North_M_footprints'	'CV1096_viridis_North_F_footprints'
scaffold-ma1	169417475	169417482	1.2419710670198714	0.8102497799055917	0.320436098745891	1.55490962096623	0.8706467832837786	0.8544892072677612	0.9224258065223694	0.7632819754736764	0.8233225175312587	1.447094542639596
scaffold-ma1	169417485	169417492	1.2783518518720354	1.0987855706896101	0.4027687609195709	1.9414461510522025	0.9731944629124233	0.8862687945365906	0.9331133110182626	1.0259923594338554	0.7855783445494515	1.6077131373541695
scaffold-ma1	169417487	169417498	1.522541956468062	1.106346520510587	0.41705092787742615	1.9927320588718762	0.9741955995559692	0.8862687945365906	1.0308018326759338	1.1479400884021411	0.8214982910589739	1.6852087866176257
scaffold-ma1	169417490	169417495	1.5590889215469361	1.109874963760376	0.4157688498497009	2.0035885334014893	0.9741955995559692	0.8862687945365906	1.0320727348327636	1.1770598411560058	0.8249653935432434	1.692897891998291
scaffold-ma1	169417514	169417520	1.6449140906333923	1.109874963760376	0.4274166723092397	1.881657361984253	1.135323405265808	0.8951972424983978	1.1504420439402263	1.209878921508789	0.8589121103286743	1.7498078346252441
scaffold-ma1	169417514	169417528	1.5298646347863334	1.109874963760376	0.45123423423085895	2.030668156487601	1.135323405265808	1.02829994899886	1.3053356664521354	1.209878921508789	0.8589121103286743	1.7498078346252441
scaffold-ma1	169417536	169417542	1.4203261137008667	1.0734063386917114	0.46909740567207336	2.1424262523651123	1.3919864694277446	1.1281269788742065	1.6013484001159668	1.1978946328163147	0.7569936613241831	1.6544341246287029
scaffold-ma1	169417538	169417545	1.4203261137008667	1.0292574422700065	0.46909740567207336	2.1424262523651123	1.4240764549800329	1.1281269788742065	1.6013484001159668	1.088205601487841	0.7570033243724278	1.5799669538225447
scaffold-ma1	169417541	169417546	1.4203261137008667	1.003151273727417	0.46909740567207336	2.1424262523651123	1.4331068992614746	1.1281269788742065	1.6013484001159668	0.97701416015625	0.7610778212547302	1.5327417612075807
scaffold-ma1	169417542	169417549	1.4203261137008667	1.0072282893317086	0.46909740567207336	2.1424262523651123	1.4331068992614746	1.1281269788742065	1.6013484001159668	0.870881370135716	0.7737758329936436	1.5195259026118688
scaffold-ma1	169417547	169417556	1.4203261137008667	1.2082314954863653	0.46909740567207336	2.1424262523651123	1.4331068992614746	1.1281269788742065	1.6013484001159668	0.9102904200553894	0.8038720157411363	1.5947399271859064
scaffold-ma1	169417572	169417583	1.209215229207819	1.0086802027442239	0.37684780630198395	1.764276851307262	1.4235415567051282	0.8941631262952631	1.1511997851458462	0.9605427980422974	0.8300892006267201	1.853494329886003
scaffold-ma1	169417573	169417580	1.2400707857949393	0.9819732648985726	0.36903285554477144	1.754307746887207	1.4331068992614746	0.8813712511743818	1.1387013026646204	0.9605427980422974	0.8409414121082851	1.8233857325145177
scaffold-ma1	169417574	169417580	1.2303110361099243	0.9830965797106425	0.3759039342403412	1.725456714630127	1.4331068992614746	0.8709879815578461	1.1246836582819622	0.9605427980422974	0.8407399853070577	1.8538315892219543
scaffold-ma1	169417586	169417593	1.0071425012179784	1.0821453332901	0.380874365568161	1.7974064350128174	1.2309726987566267	0.9075082540512085	1.1950205564498901	0.9605427980422974	0.7787601947784424	1.994675636291504
scaffold-ma1	169417599	169417605	0.8968892991542816	1.1900481383005779	0.3332284092903137	1.7974064350128174	1.3218798637390137	0.8994754354159037	1.1950205564498901	0.8710415561993917	0.7713254888852438	1.9004536271095276
scaffold-ma1	169417619	169417625	0.791495015223821	1.5387277603149414	0.4020150502522786	1.7974064350128174	1.2892121076583862	0.9019982218742371	1.1950205564498901	0.9416254758834839	0.7851899862289429	1.7332850694656372
scaffold-ma1	169417626	169417638	0.7142108827829361	1.5674544771512349	0.43751925230026245	1.765837808450063	1.3411483466625214	0.9019982218742371	1.1408049960931141	0.9383382797241211	0.7886886596679688	1.732402096192042
scaffold-ma1	169417628	169417634	0.7136141657829285	1.5582327842712402	0.4377431869506836	1.7933745980262756	1.3421372175216675	0.9019982218742371	1.1950205564498901	0.9416254758834839	0.7851899862289429	1.7332850694656372
