'chr'	'start'	'end'	'CV0857_viridis_North_M_footprints'	'CV0985_concolor_Other_F_footprints'	'CV1081_viridis_Mid_M_footprints'	'CV1082_viridis_South_M_footprints'	'CV1086_viridis_South_M_footprints'	'CV1087_viridis_North_F_footprints'	'CV1089_viridis_South_M_footprints'	'CV1090_cerberus_Other_M_footprints'	'CV1095_viridis_North_M_footprints'	'CV1096_viridis_North_F_footprints'
PE_reconstructed_10x_myo	9	15	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
PE_reconstructed_10x_myo	10	21	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
PE_reconstructed_10x_myo	27	36	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
PE_reconstructed_10x_myo	27	37	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
PE_reconstructed_10x_myo	37	50	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
PE_reconstructed_10x_myo	50	57	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
PE_reconstructed_10x_myo	56	63	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
PE_reconstructed_10x_myo	70	79	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
PE_reconstructed_10x_myo	71	78	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
PE_reconstructed_10x_myo	71	82	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
PE_reconstructed_10x_myo	73	84	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
PE_reconstructed_10x_myo	76	85	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
PE_reconstructed_10x_myo	76	87	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
PE_reconstructed_10x_myo	77	84	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
PE_reconstructed_10x_myo	77	88	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
PE_reconstructed_10x_myo	80	87	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
PE_reconstructed_10x_myo	83	90	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
PE_reconstructed_10x_myo	86	91	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
PE_reconstructed_10x_myo	94	101	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
PE_reconstructed_10x_myo	97	102	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
PE_reconstructed_10x_myo	102	110	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
PE_reconstructed_10x_myo	108	115	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
PE_reconstructed_10x_myo	113	122	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
PE_reconstructed_10x_myo	113	123	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
PE_reconstructed_10x_myo	128	137	0.33461062444580925	0.9992174307505289	0.056883554905653	0.246539572874705	0.7270358006159464	0.8063715232743157	0.5473918120066324	0.08619819581508636	0.7685043281979032	0.5698511170016395
PE_reconstructed_10x_myo	131	141	0.3880546361207962	1.162798035144806	0.06596352569758893	0.28100825995206835	0.8559551775455475	0.9374626040458679	0.6459884762763977	0.10283371731638909	0.8768831789493561	0.6803129136562347
PE_reconstructed_10x_myo	132	144	0.42424337814251584	1.2719752093156178	0.07127157567689817	0.29328496505816776	0.9635475724935532	1.0392062465349834	0.719150165716807	0.11227594502270222	0.961598406235377	0.7536280651887258
PE_reconstructed_10x_myo	140	150	0.5451447606086731	1.5359619498252868	0.09915152788162232	0.34992488026618956	1.3088258981704712	1.4319302320480347	1.0598448514938354	0.15213515162467955	1.3087858080863952	1.0537285268306733
PE_reconstructed_10x_myo	152	163	0.6512703949754889	1.6605451757257634	0.1237563280896707	0.47619715332984924	1.5418618483976885	1.7095181725241921	1.3479055057872424	0.20704091001640668	1.6634310483932495	1.314426064491272
PE_reconstructed_10x_myo	172	186	0.7382082896573203	1.944579005241394	0.16448063829115459	0.7282976508140564	1.840004461152213	2.0137259108679637	1.516338688986642	0.2306560618536813	2.0122352838516235	1.5068888664245605
PE_reconstructed_10x_myo	174	183	0.7380083401997884	1.944579005241394	0.1668962985277176	0.7300403647952609	1.8383867475721571	2.014132473203871	1.5161008437474568	0.23036613729265001	2.0138242774539523	1.5066310829586453
PE_reconstructed_10x_myo	174	184	0.7387890756130219	1.944579005241394	0.16730621308088303	0.7339064598083496	1.8410467386245728	2.0172562837600707	1.5167668104171752	0.2306734412908554	2.0187821626663207	1.507352876663208
PE_reconstructed_10x_myo	196	205	0.8438197374343872	1.9729585647583008	0.17424221005704668	0.8984142012066312	2.1617175473107233	2.4147687753041587	1.3090814749399822	0.226830768916342	1.9834566248787775	1.5135971970028348
PE_reconstructed_10x_myo	204	209	0.9680386304855346	2.3909817695617677	0.25461473166942594	1.108787441253662	2.7557199478149412	3.171018695831299	1.648122239112854	0.2248918354511261	2.273156213760376	1.9260236501693726
PE_reconstructed_10x_myo	205	214	0.9990933537483215	2.414879560470581	0.2915700690613853	1.1647651725345187	2.874516248703003	3.339811086654663	1.9387640688154433	0.23843741416931152	2.8903169102138944	2.178279717763265
